"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","module","receiver"
"Cx3cl1",0.413361273262482,0.00377369113366389,-0.00114141163666677,-0.0116501979368172,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Cxcl12",0.475831507712963,0.00458269425828566,-0.000332408512044993,-0.00180003973678689,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Dcn",0.449252289395973,0.00419396045061612,-0.000721142319714534,-0.00855933608840389,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Efemp2",0.479877354596698,0.00428139780196662,-0.000633704968364037,-0.00810783187128203,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Efna1",0.47716954003437,0.00432433958064772,-0.000590763189682932,-0.00860472060995708,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Efna5",0.420527683661941,0.00392412392032928,-0.000990978850001372,-0.0129962460553308,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Efnb1",0.435336753253222,0.00395745160574959,-0.00095765116458106,-0.0152412016836972,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Eng",0.460913581254838,0.00418846618508538,-0.000726636585245276,-0.0124938897044962,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Enpp1",0.407478466751026,0.00374878883114517,-0.00116631393918548,-0.0183571901839674,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ezr",0.418495688814501,0.00382682171694384,-0.00108828105338681,-0.014748929888026,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Fam3c",0.406698325872097,0.00375843541049468,-0.00115666735983597,-0.0166837975222219,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Fbln1",0.455597737591444,0.00416697611552603,-0.000748126654804624,-0.0107901842886968,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Fbn1",0.434964825624898,0.00398220220591737,-0.000932900564413283,-0.0131695788118416,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Fgf18",0.431154835285948,0.00402058349526112,-0.000894519275069535,-0.0117949759380323,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Fgf7",0.454436597678618,0.00445398297156059,-0.000461119798770066,0.00607438222451787,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Fgfrl1",0.416082694933165,0.00395309376908674,-0.000962009001243908,-0.0139449716675007,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Flrt2",0.480085996924785,0.00457487819685315,-0.000340224573477505,-0.00446090085095884,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Fn1",0.417434334362932,0.00382945684972691,-0.00108564592060374,-0.0139221425417044,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Furin",0.410594494563956,0.00462640417973101,-0.000288698590599643,-0.00219130000032231,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Gas6",0.483406131363014,0.00443153626801419,-0.000483566502316464,-0.00653976113945086,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Glg1",0.468501812013254,0.00435546506924736,-0.000559637701083292,-0.00897575249336552,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Gnas",0.416577086536668,0.00387140105989384,-0.00104370171043681,-0.0143601313465587,"Fibroblasts","lightcyan","SmoothMuscleCells"
