"contrast","group","sender","receiver","ligand","receptor","lr_interaction","id","scaled_lfc_ligand","scaled_p_val_ligand_adapted","scaled_lfc_receptor","scaled_p_val_receptor_adapted","max_scaled_activity","scaled_pb_ligand","scaled_pb_receptor","fraction_expressing_ligand_receptor","prioritization_score","top_group","ligand_module","receptor_module"
"age30m-age3m","age30m","Fibroblasts","EndothelialCells","Thbs2","Cd36","Thbs2_Cd36","Thbs2_Cd36_Fibroblasts_EndothelialCells",0.773606115107914,0.938174460431655,0.854440357330531,0.953231739358907,0.530577183612013,1.001,1.001,1,0.882050586621086,"age30m",NA,"brown"
"age30m-age3m","age30m","EndothelialCells","Leukocytes","Cd59a","Stab1","Cd59a_Stab1","Cd59a_Stab1_EndothelialCells_Leukocytes",0.730665467625899,0.850719424460432,0.895428271150814,0.901208617971624,0.621383222041872,0.9801892351423,1.001,1,0.881930557964759,"age30m",NA,NA
"age30m-age3m","age30m","EndothelialCells","Fibroblasts","Jam3","Jam3","Jam3_Jam3","Jam3_Jam3_EndothelialCells_Fibroblasts",0.772032374100719,0.902877697841727,0.803993694167105,0.892800840777719,0.688704038185583,1.001,0.915783122985262,1,0.88188991076908,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Pros1","Axl","Pros1_Axl","Pros1_Axl_Leukocytes_Fibroblasts",0.76978417266187,0.879721223021583,0.826589595375723,0.947976878612717,0.598132159123107,0.980139566557391,1.001,1,0.881884610086074,"age30m",NA,"brown"
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Ang","Egfr","Ang_Egfr","Ang_Egfr_Fibroblasts_Fibroblasts",0.830035971223022,0.975719424460432,0.471361008933263,0.34393063583815,0.97500608362884,1.001,1.001,1,0.881254933976045,"age30m",NA,NA
"age30m-age3m","age30m","Myocytes","Fibroblasts","Nrtn","Ret","Nrtn_Ret","Nrtn_Ret_Myocytes_Fibroblasts",0.899730215827338,0.946492805755396,0.710719915922228,0.733053074093536,0.639020659565584,1.001,1.001,1,0.881003110894139,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Nrxn2","Nlgn2","Nrxn2_Nlgn2","Nrxn2_Nlgn2_Fibroblasts_Fibroblasts",0.898156474820144,0.973471223021583,0.909090909090909,0.986862848134524,0.400006973433978,1.001,1.001,1,0.880966283494593,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Lsamp","Negr1","Lsamp_Negr1","Lsamp_Negr1_Fibroblasts_Fibroblasts",0.714478417266187,0.756519784172662,0.801366263794009,0.770362585391487,0.761136878794266,1.001,1.001,1,0.880750067351073,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Leukocytes","Il1b","Il1rap","Il1b_Il1rap","Il1b_Il1rap_Leukocytes_Leukocytes",0.700989208633094,0.739208633093525,0.825538623226485,0.784287966368891,1.001,1.001,0.756531788709172,1,0.880590667395028,"age30m",NA,NA
"age30m-age3m","age30m","EndothelialCells","Fibroblasts","Adam15","Itga5","Adam15_Itga5","Adam15_Itga5_EndothelialCells_Fibroblasts",0.766411870503597,0.95818345323741,0.856542301629007,0.943772990015765,0.518853438738747,1.001,1.001,1,0.880551457738606,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Hspg2","Fgfr1","Hspg2_Fgfr1","Hspg2_Fgfr1_Fibroblasts_Fibroblasts",0.835206834532374,0.919514388489209,0.783236994219653,0.923016290068313,0.641836453316915,0.909977674391906,1.001,1,0.880550230227266,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","EndothelialCells","Angpt1","Tie1","Angpt1_Tie1","Angpt1_Tie1_Fibroblasts_EndothelialCells",0.803057553956835,0.902428057553957,0.593273778244876,0.566473988439306,0.848366206695775,1.001,1.001,1,0.880497149298877,"age30m",NA,NA
