source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
EndocardialCells,SmoothMuscleCells,Calr,Lrp1,0.9449476,0.999,0.77188575,-0.07698053515725668,-0.18722780073483491,0.03381316,0.82430875,1.0,0.13492768166542063, ,black,0.618803721121436,brown,0.561942294262648,False,True,True
SmoothMuscleCells,Myocytes,Jam3,Itgb1,0.9444024,0.0,0.8628126,-0.01564285776314317,0.1092624685438196,0.041383233,0.8322276,0.5603403883436874,0.1352245644280154, ,lightcyan,0.378192586111084,greenyellow,0.433544316700636,True,False,True
EndocardialCells,Myocytes,Tnxb,Itga9_Itgb1,0.12840497,1.0,0.016474498,-0.3967325514155582,-0.7505811176663555,0.0048071495,0.40668306,1.0,0.135460119106025, ,lightcyan,0.362077206073838,,,True,False,True
EndothelialCells,SmoothMuscleCells,Lamc1,Itga7_Itgb1,0.964621,0.884,0.6985922,0.04128056869299804,-0.18710893577157006,0.028507205,0.816967,1.0,0.135521709084982, ,brown,0.425314090034099,,,True,False,True
Fibroblasts,Myocytes,Lgals3,Mcam,0.1492119,1.0,0.016489737,-0.2979704505193478,-0.6334267042193087,0.002271618,0.4067946,1.0,0.13610441471799153, ,,,brown,0.675177279471707,False,True,True
Leukocytes,EndothelialCells,Tgfb1,Acvrl1,0.94344425,0.0,0.8829535,0.49473136552788055,0.6569719715411568,0.09532708,0.8338323,0.028541536280802495,0.13611693356983112, ,brown,0.780749588439731,,,True,False,True
Leukocytes,EndocardialCells,Pf4,Procr,1.0603793,0.0,0.69579995,1.3995598849118314,1.705916428947746,0.3533155,0.8166674,4.651505862272144e-05,0.13611693356983112, ,turquoise,0.841618051106534,midnightblue,0.267047127373559,False,True,True
SmoothMuscleCells,Fibroblasts,Tgfb3,Itgb5,0.9427783,0.0,0.8249197,0.5242050466228839,0.7943070983805819,0.11547789,0.8290688,0.028541536280802495,0.1373108500177228, ,brown,0.511531512491637,turquoise,0.646285311150696,True,False,True
EndothelialCells,SmoothMuscleCells,Hspg2,Dag1,0.9560994,0.0,0.6934387,0.36000913173240423,0.5480649751359457,0.064272925,0.8164128,0.0306137118955635,0.13761006464720055, ,brown,0.70755077011452,,,True,False,True
Fibroblasts,Leukocytes,Hspg2,Lrp1,0.94223773,0.0,0.88010114,0.08704984312409278,-0.01973939295885907,0.057555743,0.8336081,0.4297099377836745,0.13761006464720055, ,brown,0.485029372814491,turquoise,0.663780405167675,True,False,True
