source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
SmoothMuscleCells,SmoothMuscleCells,Angpt2,Tek,0.39457738,0.998,0.14560696,-0.0484749964148255,-0.12183491912584321,0.029292237,0.67081076,1.0,0.8064247210362088, ,brown,0.33277543675192,brown,0.708802168860815,True,True,True
SmoothMuscleCells,EndocardialCells,Timp3,Ddr1,0.72209215,0.0,0.28031164,0.15762165007940854,0.10726948186794583,0.041395642,0.7387245,0.19559475578684662,0.8064247210362088, ,,,pink,0.241908366863852,False,False,False
Leukocytes,SmoothMuscleCells,Lrpap1,Vldlr,0.41690713,0.999,0.11527287,-0.06778521267122706,-0.07920751407935295,0.015395999,0.64452296,1.0,0.8064247210362088, ,turquoise,0.430188196525901,,,False,False,False
Fibroblasts,Fibroblasts,Gpi1,Amfr,0.6695318,1.0,0.43620384,-0.08790458487610808,-0.1546811132369934,0.021023167,0.7791041,1.0,0.8066762963989035, ,,,,,False,False,False
EndocardialCells,SmoothMuscleCells,Tgm2,Itga9,0.7073763,0.0,0.29290953,0.24716358054326826,0.19802841411546113,0.033000883,0.7429447,0.34334054244388007,0.8066762963989035, ,,,brown,0.572216452048973,False,True,True
Leukocytes,Fibroblasts,Adam15,Itga9,0.58701164,0.241,0.28035685,0.015180465619940011,-0.022353405409426375,0.03547497,0.7387401,0.7790198427158159,0.8067013650635889, ,turquoise,0.724029533744313,turquoise,0.571348483989296,False,False,False
SmoothMuscleCells,EndocardialCells,Adam15,Itgav,0.39454198,1.0,0.13769996,-0.2529962051198664,-0.35693972427856496,0.018131126,0.6646168,1.0,0.8067013650635889, ,lightcyan,0.35510465639107,,,True,False,True
Leukocytes,EndothelialCells,Col1a2,Flt4,0.30448094,1.0,0.040767033,-0.17248352064515635,0.004715534964268686,0.011472498,0.518825,1.0,0.8068582809325189, ,,,pink,0.248681072120292,False,False,False
Fibroblasts,Myocytes,Efnb1,Epha4,0.7667047,0.0,0.29271019,0.530456395438165,0.36986729982211886,0.05088507,0.7428797,0.07621399737216202,0.8069747078646143, ,,,brown,0.571232341148922,False,True,True
Fibroblasts,EndocardialCells,Col4a6,Cd47,0.66939473,0.0,0.36972317,0.14860327936865753,0.49663437469880123,0.10663455,0.76454765,0.12574354422314812,0.8069747078646143, ,cyan,0.263036518533227,black,0.80126067900723,False,False,False
EndocardialCells,EndothelialCells,Arf6,Smap1,0.53083956,1.0,0.280379,-0.16586456654541715,-0.15389754995532878,0.024873558,0.73874766,1.0,0.8069782958893447, ,,,,,False,False,False
EndocardialCells,Leukocytes,Cxcl12,Sdc4,0.39448938,1.0,0.12364472,-0.32719762708473965,-0.5769628251621575,0.013739443,0.6525132,1.0,0.8069782958893447, ,,,,,False,False,False
Fibroblasts,Myocytes,Thbs1,Cd36,0.6693351,0.0,0.29902852,0.21824296249616187,0.16608706730202571,0.075815625,0.74491405,0.13414846824927348,0.807273271094547, ,,,brown,0.500716969407465,False,True,True
Fibroblasts,EndocardialCells,Sema3c,Nrp1_Nrp2_Plxnd1,0.3944884,0.0,0.14433709,0.25524221664798474,0.3728487883280944,0.14514726,0.6698429,0.04080966780078852,0.807393699143478, ,,,,,False,False,False
Fibroblasts,EndocardialCells,Sema3c,Nrp2_Plxna4,0.3944884,0.0,0.14433709,0.25524221664798474,0.3728487883280944,0.14514726,0.6698429,0.04080966780078852,0.807393699143478, ,,,,,False,False,False
Fibroblasts,EndocardialCells,Postn,Itgav_Itgb5,0.28272822,1.0,0.04080936,-0.2583066586701804,-0.23488474240284718,0.0062018717,0.5189545,1.0,0.8073974485782442, ,turquoise,0.350334828877992,,,False,False,False
SmoothMuscleCells,SmoothMuscleCells,Tgfb1,Itgb5,0.5764816,0.915,0.28041914,-0.05617244657507166,-0.11715121448283533,0.02629358,0.7387615,1.0,0.807532124020942, ,brown,0.732384831866489,brown,0.48064539237368,True,True,True
SmoothMuscleCells,EndocardialCells,Slc6a8,Lifr,0.66933024,0.0,0.31961516,0.5364005443321571,0.5584255212253879,0.077745184,0.7511878,0.028541536280802495,0.8075717451030848, ,blue,0.613373821364547,,,False,False,False
SmoothMuscleCells,SmoothMuscleCells,Mmrn2,Cd248,0.39443317,0.999,0.15302512,-0.050338600527593466,-0.20014931201814318,0.032486796,0.6762738,1.0,0.8078092449295413, ,brown,0.757581672238273,,,True,False,True
Fibroblasts,SmoothMuscleCells,Col16a1,Itga1_Itgb1,0.55376554,0.0,0.280504,0.46281738145489504,0.7476281258823377,0.23045264,0.7387907,0.028541536280802495,0.8078092449295413, ,,,,,False,False,False
Leukocytes,Myocytes,Nppa,Npr3,0.54878336,0.269,0.11510761,-0.015358795799168976,-0.16094848944851775,0.006776782,0.6443586,1.0,0.8078092449295413, ,turquoise,0.639972798269552,,,False,False,False
Myocytes,EndothelialCells,Angptl4,Tie1,0.7146366,0.0,0.109810084,0.33866628553109324,0.6817632960625979,0.041825846,0.63894194,0.15560184336381355,0.8078703708721064, ,magenta,0.510755344184455,royalblue,0.739670400010914,False,False,False
EndocardialCells,Myocytes,Col1a2,Cd36,0.66897345,1.0,0.29826516,-0.16370247243668623,-0.45532056170277035,0.023656717,0.7446711,1.0,0.8078703708721064, ,blue,0.218085546763467,brown,0.500716969407465,False,True,True
SmoothMuscleCells,EndothelialCells,Pltp,Abca1,0.20300956,1.0,0.040812045,-0.34715420816745257,-0.5386116324773002,0.008208426,0.51896274,1.0,0.8079365822483477, ,brown,0.533848142274511,turquoise,0.256433791078161,True,False,True
SmoothMuscleCells,SmoothMuscleCells,Efnb2,Ephb4,0.3944279,0.995,0.1544294,-0.07055492153257455,-0.25569286400029334,0.021305433,0.67727286,1.0,0.8080864292306358, ,,,blue,0.586924059926733,False,False,False
SmoothMuscleCells,Leukocytes,Fabp5,Rxra,0.56510836,0.012,0.28050938,0.06714391531231934,0.06734412910691695,0.036371846,0.73879254,0.5623545472785579,0.8080864292306358, ,purple,0.588666873305242,brown,0.495301817055943,False,True,True
Fibroblasts,Myocytes,Mdk,Ncl,0.6689302,0.002,0.4406284,0.04998923366532462,0.3630337930840257,0.055208337,0.77997136,0.4939114915418876,0.8081689073655195, ,,,darkorange,0.322095469852674,False,True,True
SmoothMuscleCells,EndocardialCells,Col4a1,Cd44,0.5906684,0.671,0.11502281,-0.048423130518818386,-0.11596741034062008,0.01682568,0.6442741,1.0,0.8083636769314753, ,,,yellow,0.212459882063522,False,True,True
Fibroblasts,Myocytes,Mdk,Sdc2,0.39441162,1.0,0.11876601,-0.02874226094848828,0.0715116429539086,0.030011669,0.64793545,1.0,0.8083636769314753, ,,,greenyellow,0.317323746848508,False,False,False
Myocytes,SmoothMuscleCells,Col4a2,Itgb5,0.5765647,1.0,0.28055286,-0.26931918635700414,-0.4305282980689484,0.019196818,0.7388075,1.0,0.8083636769314753, ,,,brown,0.48064539237368,False,True,True
Myocytes,Fibroblasts,Rgmb,Neo1,0.20819987,1.0,0.040819537,-0.09830696867200257,-0.20598778145863667,0.014717584,0.5189857,1.0,0.8084756275337021, ,orange,0.640366075374755,yellow,0.471083556679634,True,True,True
EndothelialCells,Leukocytes,Gas6,Mertk,0.6446072,0.0,0.28055477,0.16469881747883885,0.32050004393243003,0.06495676,0.7388081,0.1051027795819281,0.8086407641952515, ,turquoise,0.728552321901715,,,False,False,False
Fibroblasts,Leukocytes,Fn1,Itga9,0.3944068,0.0,0.15369439,0.18856065912561848,0.34134879837219295,0.047754243,0.6767513,0.0965131496348776,0.8086407641952515, ,pink,0.318999323805734,turquoise,0.699544318835141,False,False,False
Leukocytes,Leukocytes,Arpc5,Ldlr,0.78286093,0.0,0.29223207,0.4298528537403886,0.41046751738679954,0.08418623,0.7427235,0.028541536280802495,0.8087661945359916, ,turquoise,0.570391554913461,,,False,False,False
EndocardialCells,SmoothMuscleCells,Rtn4,Rtn4rl1,0.66870844,0.0,0.43967706,0.22737557087643961,0.3897746444115354,0.071393065,0.7797859,0.05538460118527544,0.8087661945359916, ,,,,,False,False,False
EndothelialCells,EndocardialCells,Tnfsf10,Ripk1,0.39432922,0.0,0.12563926,0.17086651718639176,0.44410479246280393,0.049061194,0.6543252,0.09892198453501883,0.8089181386661466, ,,,,,False,False,False
Myocytes,EndothelialCells,Col4a2,Itga1_Itgb1,0.57657564,0.99,0.2805605,-0.04139095559840733,0.19494885790483135,0.033493508,0.7388102,1.0,0.8089181386661466, ,,,,,False,False,False
Fibroblasts,EndocardialCells,Fadd,Tradd,0.20285787,0.93,0.040858764,-0.029373154833171707,-0.09405311522555199,0.025916962,0.51910555,1.0,0.8090145844415522, ,,,,,False,False,False
Leukocytes,Leukocytes,Tgfb1,Cxcr4,0.6685332,0.0,0.41066507,0.7592637811376698,0.8619831962136746,0.21534616,0.7738689,0.013041591527136057,0.8090649452092656, ,brown,0.780749588439731,royalblue,0.754656397144664,True,False,True
EndocardialCells,Leukocytes,Ahsg,Insr,0.80829585,0.0,0.29221854,0.7918506052187707,0.7930087239535035,0.06399519,0.7427191,0.031447425646019066,0.8090649452092656, ,,,turquoise,0.443732032238714,False,False,False
EndothelialCells,EndocardialCells,Fbn1,Itga5,0.39409262,1.0,0.13490194,-0.13237143027680612,-0.3231757472759099,0.02555333,0.662325,1.0,0.80919557655853, ,,,red,0.410404558740387,False,False,False
SmoothMuscleCells,SmoothMuscleCells,Calr,Scarf1,0.6298746,1.0,0.28068727,-0.3026024388570331,-0.3024190867955269,0.019355888,0.73885375,1.0,0.80919557655853, ,,,,,False,False,False
SmoothMuscleCells,Leukocytes,Arf6,Smap1,0.52995336,1.0,0.28069308,-0.1656781220656986,-0.18469884460003594,0.024901424,0.7388558,1.0,0.809472853882063, ,lightcyan,0.286234066022893,turquoise,0.421997926966034,True,False,True
Myocytes,EndocardialCells,Adam10,Tspan12,0.3939933,1.0,0.14617042,-0.2639113044731402,-0.4516799532862635,0.013074757,0.67123705,1.0,0.809472853882063, ,,,sienna3,0.321866608246072,False,False,False
SmoothMuscleCells,EndothelialCells,Fadd,Abca1,0.20322308,1.0,0.040907286,-0.0951489093513044,-0.17447661386596053,0.016271718,0.5192537,1.0,0.809553398607362, ,darkred,0.520930112465008,turquoise,0.256433791078161,False,False,False
Fibroblasts,EndocardialCells,Angptl4,Itga5_Itgb1,0.3939309,0.0,0.13472825,0.15758303729906625,0.2066950142216814,0.07731161,0.662181,0.11400735908505864,0.8097504185879714, ,,,,,False,False,False
