,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
App^Notch2,0.06838789839014452,0.028977244812213244,1.0647884507186153e-06,0.025529670137635095,0.10982879255749779,0.039881308720414274,0.04188868759253852,0.0594919981665539
App^Rpsa,0.1177311560316472,0.18818602935466153,0.10797957352058314,0.11508612306796578,0.23173674825038834,0.13642855547067304,0.1688719976462177,0.09694199715947126
App^Tnfrsf21,0.05750515120905221,0.03157523509999346,0.03299427135528814,0.0401508692321759,0.0036583840493233885,0.003696871223973671,0.02564014883987251,0.008236439345209859
App^Tspan12,5.916746235221325e-37,0.10085001328843113,0.10533958711931678,0.09042590115178478,0.03169293203994927,0.011637588584308732,0.07015510521792487,0.04315187002655202
App^Tspan15,1.5548185659373557e-24,0.05464684524175696,0.06202978006906552,0.03182510080467588,1.2954921072852218e-17,7.000489297470519e-07,0.034422212907842975,2.0901858494753178e-10
App^Vldlr,3.951392464567055e-40,1.2463726293473018e-10,8.570282960497593e-11,0.14932729838023226,0.052036415598813175,0.0033055648823461475,0.00986903374302114,0.031587466859193856
Arf1^Insr,0.02919153487787144,0.0396846267952382,0.0373486251843165,0.1568253904035399,0.03302436943179381,0.026836237790567687,0.04511045742286564,0.0038087024505372813
Arf1^Pld2,0.07799662355678379,0.03905843009491686,0.05587031186059913,0.01926857008991363,0.013398669680860115,0.007476262755651781,0.031145002966733424,0.017045930335400052
Arf6^Pld1,0.00796862750442677,0.015506112100306599,0.010345446129248306,5.5742771541280345e-11,0.03216366734360488,0.014604693545598471,0.026421490714132377,0.021202048117982198
Arf6^Smap1,0.030599616219826316,0.03771116041924314,0.04177414536100236,0.007166381358401874,0.04447502911144318,0.01698838874164497,0.05723476823374395,0.04076278029679227
Arpc5^Adrb2,0.0818302202680297,0.015566445992698675,0.017007286263846684,3.0425346801222186e-11,0.001841854745590802,0.0020332043584827372,0.023492076216501633,0.00016431283985850534
Arpc5^Ldlr,0.025123190579963744,0.006682870904677606,0.0011853308679301796,0.013963972805690202,0.02701308650003212,0.008735034743894235,0.02125121639800716,0.01978510138067916
B2m^Cd247,0.0030479551843106754,0.008889857282119426,0.007986437014530766,1.1035645485802389e-16,8.59706366148238e-18,0.00016481357305642142,0.0019071257275233998,1.3647257183549553e-20
B2m^Hfe,0.154860500282082,0.08669793079419462,0.07176370300204352,5.2879213734197744e-06,0.07967217686755332,0.043461817569902327,0.0922092330001001,0.05595434883747897
B2m^Tfrc,0.02273612111097362,1.1156729701159781e-07,4.5029331588524313e-07,0.0988979807922755,8.914140571658016e-05,0.0023450341756296885,0.0020972083278671116,6.160418472951825e-17
Bdnf^Erbb2,7.208336688900699e-57,2.876551306805314e-37,0.000518134199592514,0.00015381760190445764,2.9341365444912744e-05,0.0005556601009382206,1.3104301646551752e-36,0.00018071577071382565
Bdnf^Sort1,6.569641854521023e-61,3.259233794706976e-36,1.0743918081214768e-13,0.00268011670950428,5.431036529727599e-16,0.002160987176073947,1.9872052965657112e-33,1.7492579886090515e-08
Bgn^Ly96,0.07304319910449528,0.025189434692751048,0.0368169883734294,0.0037856122859544154,0.01319700821326512,0.042069050977267215,0.000334934283993172,0.029867090195173453
Bgn^Tlr2,0.08480789104642607,0.00641247601750925,2.21900724676612e-08,4.264470028950661e-26,0.006472112149165613,0.03272676857993992,3.0780182509242733e-10,1.5539959370033917e-05
Bgn^Tlr4,0.04936750981553454,0.013422013032405847,0.007357963916386077,0.003289459821906779,0.015251449259477806,0.035319531595012596,0.0005389747614772281,0.029579453064281957
Bmp1^Bmpr1a,4.658586828376082e-32,0.006192554065513175,0.0003957139358745274,0.02674733161625251,0.010841604133351659,0.03648176886499354,5.1031417604430104e-21,0.02811393991219957
Bmp1^Bmpr2,1.1201139694884416e-19,0.0074768050688841245,0.009643577486240954,0.00021730737652058316,0.003805039211547807,0.027480779515873705,1.942809917323307e-16,0.0005565824810206284
Bmp2^Actr2,0.014180914618896092,9.844325318105926e-15,0.011440493019332788,0.006309649081294429,3.6140055057842925e-05,2.0488556814188423e-16,0.03208437689984572,0.011603579815957495
Bmp2^Acvr1,7.228484655550854e-14,5.941889594055612e-16,0.009383013315949878,0.0012558263994024157,0.0006537291706846748,3.8556253688564475e-17,0.018503263971175268,0.007407147052345838
Bmp2^Acvr2a_Bmpr1a,3.903288834702955e-17,2.608473603472571e-26,6.734672166306585e-16,0.0011338575705076034,0.0005884485892344435,3.8870938798915616e-09,0.0015400597942744271,0.0017176316336564397
Bmp2^Acvr2b_Bmpr1a,0.0005509966569963621,5.486033093727609e-08,0.0010061319826700828,0.002135510355290086,1.0812317852386988e-08,1.8350507231637921e-13,0.0022078386501514858,0.00029794868177552403
Bmp2^Bmpr1a_Bmpr2,6.339149593551121e-70,8.763540388814718e-13,0.005064133297004141,0.0016294433599771897,0.0007648213449018594,1.5571828182504924e-12,0.010787966916165584,0.006147460294544133
