"gene_celltype","module","celltype","gene","kME","is_hub"
"1700037H04Rik_EndocardialCells","cyan","EndocardialCells","1700037H04Rik",0.634116511436084,TRUE
"1700049G17Rik_EndocardialCells","cyan","EndocardialCells","1700049G17Rik",0.324723662480903,FALSE
"1700052K11Rik_EndocardialCells","blue","EndocardialCells","1700052K11Rik",0.56483743672419,FALSE
"1700052N19Rik_EndocardialCells","blue","EndocardialCells","1700052N19Rik",0.466438392245102,FALSE
"1700054N08Rik_EndocardialCells","saddlebrown","EndocardialCells","1700054N08Rik",0.139756521456294,FALSE
"1700066M21Rik_EndocardialCells","red","EndocardialCells","1700066M21Rik",0.453744424501542,FALSE
"1700084E18Rik_EndocardialCells","red","EndocardialCells","1700084E18Rik",0.481388812001854,FALSE
"1700101I11Rik_EndocardialCells","blue","EndocardialCells","1700101I11Rik",0.544724447235247,FALSE
"1700102H20Rik_EndocardialCells","steelblue","EndocardialCells","1700102H20Rik",0.33616326654454,FALSE
"1700106N22Rik_EndocardialCells","darkred","EndocardialCells","1700106N22Rik",0.493079630819734,FALSE
"1700113A16Rik_EndocardialCells","midnightblue","EndocardialCells","1700113A16Rik",0.497008166521641,FALSE
"1700113I22Rik_EndocardialCells","blue","EndocardialCells","1700113I22Rik",0.602683842647919,FALSE
"1700123M08Rik_EndocardialCells","darkolivegreen","EndocardialCells","1700123M08Rik",0.456175040229102,FALSE
"1810008A18Rik_EndocardialCells","darkgreen","EndocardialCells","1810008A18Rik",0.335755576962761,FALSE
"1810009A15Rik_EndocardialCells","blue","EndocardialCells","1810009A15Rik",0.291214364678055,FALSE
"1810010H24Rik_EndocardialCells","royalblue","EndocardialCells","1810010H24Rik",0.123304715005315,FALSE
"1810011O10Rik_EndocardialCells","pink","EndocardialCells","1810011O10Rik",0.328274888823763,FALSE
"1810012P15Rik_EndocardialCells","purple","EndocardialCells","1810012P15Rik",0.710625637828258,TRUE
"1810013D10Rik_EndocardialCells","blue","EndocardialCells","1810013D10Rik",0.604659104927171,FALSE
"1810013L24Rik_EndocardialCells","black","EndocardialCells","1810013L24Rik",0.503880241544701,FALSE
"1810014B01Rik_EndocardialCells","blue","EndocardialCells","1810014B01Rik",0.46002335762816,FALSE
"1810021B22Rik_EndocardialCells","green","EndocardialCells","1810021B22Rik",0.519269136706509,TRUE
"1810024B03Rik_EndocardialCells","purple","EndocardialCells","1810024B03Rik",0.598863254102321,FALSE
"1810026B05Rik_EndocardialCells","turquoise","EndocardialCells","1810026B05Rik",0.259786439974725,FALSE
"1810026J23Rik_EndocardialCells","cyan","EndocardialCells","1810026J23Rik",0.543071182885998,FALSE
