"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1130","EndothelialCells","GO:0060294","cilium movement involved in cell motility","2/6","95/13010",0.0210526315789474,45.6491228070175,9.38180992712767,0.000776476943177381,0.0160253177588798,0.00749722468251685,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1131","EndothelialCells","GO:0001539","cilium or flagellum-dependent cell motility","2/6","97/13010",0.0206185567010309,44.7079037800687,9.28092731797084,0.000809359482771705,0.0160253177588798,0.00749722468251685,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1132","EndothelialCells","GO:0060285","cilium-dependent cell motility","2/6","97/13010",0.0206185567010309,44.7079037800687,9.28092731797084,0.000809359482771705,0.0160253177588798,0.00749722468251685,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1133","EndothelialCells","GO:0003341","cilium movement","2/6","114/13010",0.0175438596491228,38.0409356725146,8.53229698714225,0.001115740288999,0.0184097147684834,0.00861273205543085,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1134","EndothelialCells","GO:0007286","spermatid development","2/6","141/13010",0.0141843971631206,30.7565011820331,7.63094146727153,0.0017002519217837,0.0237784661353974,0.0111244286013555,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1135","EndothelialCells","GO:0048515","spermatid differentiation","2/6","150/13010",0.0133333333333333,28.9111111111111,7.38518489043984,0.00192149221296141,0.0237784661353974,0.0111244286013555,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1136","EndothelialCells","GO:0006183","GTP biosynthetic process","1/6","10/13010",0.1,216.833333333333,14.6658062591969,0.00460386708311711,0.0348831169148775,0.0163195868607614,"Nme5",1,"darkmagenta","GO_BP"
"1137","EndothelialCells","GO:0006241","CTP biosynthetic process","1/6","10/13010",0.1,216.833333333333,14.6658062591969,0.00460386708311711,0.0348831169148775,0.0163195868607614,"Nme5",1,"darkmagenta","GO_BP"
"1138","EndothelialCells","GO:0046051","UTP metabolic process","1/6","10/13010",0.1,216.833333333333,14.6658062591969,0.00460386708311711,0.0348831169148775,0.0163195868607614,"Nme5",1,"darkmagenta","GO_BP"
"1139","EndothelialCells","GO:0009209","pyrimidine ribonucleoside triphosphate biosynthetic process","1/6","11/13010",0.0909090909090909,197.121212121212,13.9773564623129,0.00506328068292472,0.0348831169148775,0.0163195868607614,"Nme5",1,"darkmagenta","GO_BP"
"1140","EndothelialCells","GO:0046036","CTP metabolic process","1/6","12/13010",0.0833333333333333,180.694444444444,13.3766113388401,0.00552251757160105,0.0348831169148775,0.0163195868607614,"Nme5",1,"darkmagenta","GO_BP"
"1141","EndothelialCells","GO:0007281","germ cell development","2/6","257/13010",0.00778210116731518,16.8741893644617,5.52091473794604,0.00553280999693157,0.0348831169148775,0.0163195868607614,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1142","EndothelialCells","GO:0060271","cilium assembly","2/6","263/13010",0.00760456273764259,16.489226869455,5.45083108381487,0.00578750100362243,0.0348831169148775,0.0163195868607614,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1143","EndothelialCells","GO:0022412","cellular process involved in reproduction in multicellular organism","2/6","277/13010",0.0072202166064982,15.6558363417569,5.29595423273145,0.006402737491414,0.0348831169148775,0.0163195868607614,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1144","EndothelialCells","GO:0009208","pyrimidine ribonucleoside triphosphate metabolic process","1/6","14/13010",0.0714285714285714,154.880952380952,12.3738011821886,0.0064404614330702,0.0348831169148775,0.0163195868607614,"Nme5",1,"darkmagenta","GO_BP"
"1145","EndothelialCells","GO:0044782","cilium organization","2/6","283/13010",0.00706713780918728,15.3239104829211,5.23300193782257,0.00667534048133283,0.0348831169148775,0.0163195868607614,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1146","EndothelialCells","GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process","1/6","15/13010",0.0666666666666667,144.555555555556,11.9491384581062,0.00689916851458772,0.0348831169148775,0.0163195868607614,"Nme5",1,"darkmagenta","GO_BP"
"1147","EndothelialCells","GO:0007018","microtubule-based movement","2/6","291/13010",0.00687285223367698,14.9026345933562,5.15200434585613,0.00704709432623789,0.0348831169148775,0.0163195868607614,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
