"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1106","Leukocytes","R-MMU-909733","Interferon alpha/beta signaling","1/4","18/6819",0.0555555555555556,94.7083333333333,9.64392097252974,0.0105193039954623,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1107","Leukocytes","R-MMU-9674555","Signaling by CSF3 (G-CSF)","1/4","19/6819",0.0526315789473684,89.7236842105263,9.38182819263476,0.0111012658810701,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1108","Leukocytes","R-MMU-112409","RAF-independent MAPK1/3 activation","1/4","20/6819",0.05,85.2375,9.13952259063395,0.0116829710187869,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1109","Leukocytes","R-MMU-5654726","Negative regulation of FGFR1 signaling","1/4","20/6819",0.05,85.2375,9.13952259063395,0.0116829710187869,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1110","Leukocytes","R-MMU-389513","Co-inhibition by CTLA4","1/4","21/6819",0.0476190476190476,81.1785714285714,8.91462225505525,0.0122644194841384,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1111","Leukocytes","R-MMU-5654732","Negative regulation of FGFR3 signaling","1/4","21/6819",0.0476190476190476,81.1785714285714,8.91462225505525,0.0122644194841384,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1112","Leukocytes","R-MMU-5654733","Negative regulation of FGFR4 signaling","1/4","22/6819",0.0454545454545455,77.4886363636364,8.70512853168189,0.0128456113526384,0.0405130819583211,0.0150818918715188,"19247",1,"grey60","Reactome"
"1113","Leukocytes","R-MMU-5654727","Negative regulation of FGFR2 signaling","1/4","23/6819",0.0434782608695652,74.1195652173913,8.50935019953754,0.0134265466997904,0.0407769196067708,0.0151801112785154,"19247",1,"grey60","Reactome"
"1114","Leukocytes","R-MMU-186763","Downstream signal transduction","1/4","25/6819",0.04,68.19,8.15337539044303,0.0145876481320042,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1115","Leukocytes","R-MMU-109704","PI3K Cascade","1/4","27/6819",0.037037037037037,63.1388888888889,7.83740141212059,0.0157477243845826,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1116","Leukocytes","R-MMU-112399","IRS-mediated signalling","1/4","28/6819",0.0357142857142857,60.8839285714286,7.69215449115905,0.0163273782571476,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1117","Leukocytes","R-MMU-5654741","Signaling by FGFR3","1/4","30/6819",0.0333333333333333,56.825,7.42355650917478,0.017485917872011,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1118","Leukocytes","R-MMU-5654743","Signaling by FGFR4","1/4","30/6819",0.0333333333333333,56.825,7.42355650917478,0.017485917872011,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1119","Leukocytes","R-MMU-114604","GPVI-mediated activation cascade","1/4","31/6819",0.032258064516129,54.991935483871,7.29901725456304,0.0180648037651486,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1120","Leukocytes","R-MMU-2428928","IRS-related events triggered by IGF1R","1/4","31/6819",0.032258064516129,54.991935483871,7.29901725456304,0.0180648037651486,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1121","Leukocytes","R-MMU-1433557","Signaling by SCF-KIT","1/4","32/6819",0.03125,53.2734375,7.18030163594303,0.0186434338159647,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1122","Leukocytes","R-MMU-2404192","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)","1/4","32/6819",0.03125,53.2734375,7.18030163594303,0.0186434338159647,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1123","Leukocytes","R-MMU-2428924","IGF1R signaling cascade","1/4","32/6819",0.03125,53.2734375,7.18030163594303,0.0186434338159647,0.0413178803488947,0.0153814958936835,"19247",1,"grey60","Reactome"
"1124","Leukocytes","R-MMU-8853659","RET signaling","1/4","34/6819",0.0294117647058824,50.1397058823529,6.9586124427143,0.0197999266921884,0.042726157598933,0.0159057582845835,"19247",1,"grey60","Reactome"
"1125","Leukocytes","R-MMU-74751","Insulin receptor signalling cascade","1/4","35/6819",0.0285714285714286,48.7071428571429,6.85488343825873,0.0203777896683465,0.0428456090462669,0.0159502267309594,"19247",1,"grey60","Reactome"
"1126","Leukocytes","R-MMU-5654736","Signaling by FGFR1","1/4","36/6819",0.0277777777777778,47.3541666666667,6.75545622026712,0.0209553971036831,0.0429585640625504,0.0159922767370213,"19247",1,"grey60","Reactome"
"1127","Leukocytes","R-MMU-512988","Interleukin-3, Interleukin-5 and GM-CSF signaling","1/4","39/6819",0.0256410256410256,43.7115384615385,6.48019739929363,0.0226866869181882,0.0453733738363764,0.0168912431483301,"19247",1,"grey60","Reactome"
"1128","Leukocytes","R-MMU-177929","Signaling by EGFR","1/4","40/6819",0.025,42.61875,6.39531256346163,0.0232632729436052,0.045418770985134,0.0169081432422193,"19247",1,"grey60","Reactome"
"1129","Leukocytes","R-MMU-186797","Signaling by PDGF","1/4","45/6819",0.0222222222222222,37.8833333333333,6.01366717221308,0.0261423771134401,0.0498529051930719,0.0185588478895903,"19247",1,"grey60","Reactome"
"1130","Fibroblasts","R-MMU-174084","Autodegradation of Cdh1 by Cdh1:APC/C","6/128","49/6819",0.122448979591837,6.52327806122449,5.36646846535811,0.000280750920970729,0.0271461171844135,0.021554549052378,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1131","Fibroblasts","R-MMU-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","7/128","70/6819",0.1,5.32734375,5.03313604833589,0.000312802642597252,0.0271461171844135,0.021554549052378,"26754/26893/26894/66979/20021/66420/22594",7,"white","Reactome"
"1132","Fibroblasts","R-MMU-174154","APC/C:Cdc20 mediated degradation of Securin","6/128","50/6819",0.12,6.3928125,5.2932942193756,0.000314184948538986,0.0271461171844135,0.021554549052378,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1133","Fibroblasts","R-MMU-5696398","Nucleotide Excision Repair","8/128","99/6819",0.0808080808080808,4.30492424242424,4.58123360604207,0.000506886800249261,0.0271461171844135,0.021554549052378,"56456/26754/26893/26894/66979/20021/66420/22594",8,"white","Reactome"
"1134","Fibroblasts","R-MMU-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","6/128","55/6819",0.109090909090909,5.81164772727273,4.95520170749533,0.000530939950450562,0.0271461171844135,0.021554549052378,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1135","Fibroblasts","R-MMU-69017","CDK-mediated phosphorylation and removal of Cdc6","6/128","55/6819",0.109090909090909,5.81164772727273,4.95520170749533,0.000530939950450562,0.0271461171844135,0.021554549052378,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1136","Fibroblasts","R-MMU-174178","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","6/128","56/6819",0.107142857142857,5.70786830357143,4.89256488140333,0.000585626223759937,0.0271461171844135,0.021554549052378,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1137","Fibroblasts","R-MMU-179419","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","6/128","56/6819",0.107142857142857,5.70786830357143,4.89256488140333,0.000585626223759937,0.0271461171844135,0.021554549052378,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1138","Fibroblasts","R-MMU-176409","APC/C:Cdc20 mediated degradation of mitotic proteins","6/128","57/6819",0.105263157894737,5.60773026315789,4.83142075333669,0.000644590676531109,0.0271461171844135,0.021554549052378,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1139","Fibroblasts","R-MMU-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","6/128","58/6819",0.103448275862069,5.51104525862069,4.77170604303016,0.00070805865961768,0.0271461171844135,0.021554549052378,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1140","Fibroblasts","R-MMU-5389840","Mitochondrial translation elongation","7/128","81/6819",0.0864197530864197,4.60387731481481,4.51268451260332,0.000765071073396079,0.0271461171844135,0.021554549052378,"102060/94065/56280/66163/18120/64659/66407",7,"white","Reactome"
"1141","Fibroblasts","R-MMU-9937383","Mitochondrial ribosome-associated quality control","7/128","81/6819",0.0864197530864197,4.60387731481481,4.51268451260332,0.000765071073396079,0.0271461171844135,0.021554549052378,"102060/94065/56280/66163/18120/64659/66407",7,"white","Reactome"
"1142","Fibroblasts","R-MMU-69002","DNA Replication Pre-Initiation","7/128","83/6819",0.0843373493975904,4.49294051204819,4.42809739523631,0.000885664866441169,0.0271461171844135,0.021554549052378,"68999/52206/66440/66979/19182/23996/17463",7,"white","Reactome"
"1143","Fibroblasts","R-MMU-5419276","Mitochondrial translation termination","7/128","84/6819",0.0833333333333333,4.439453125,4.38680375277534,0.000951338791508039,0.0271461171844135,0.021554549052378,"102060/94065/56280/66163/18120/64659/66407",7,"white","Reactome"
"1144","Fibroblasts","R-MMU-72766","Translation","13/128","256/6819",0.05078125,2.70529174804688,3.84640879796849,0.000973466727041875,0.0271461171844135,0.021554549052378,"27979/13684/102060/94065/56280/66163/18120/64659/66407/19182/23996/17463/66105",13,"white","Reactome"
"1145","Fibroblasts","R-MMU-72203","Processing of Capped Intron-Containing Pre-mRNA","13/128","258/6819",0.0503875968992248,2.68432049418605,3.81449926411541,0.00104590460229432,0.0271461171844135,0.021554549052378,"51786/67285/13684/68705/17149/20021/66420/230596/76938/225027/54723/60532/67178",13,"white","Reactome"
"1146","Fibroblasts","R-MMU-73776","RNA Polymerase II Promoter Escape","5/128","42/6819",0.119047619047619,6.34207589285714,4.80290420137281,0.00105054136349496,0.0271461171844135,0.021554549052378,"68705/20021/66420/66464/21343",5,"white","Reactome"
"1147","Fibroblasts","R-MMU-73779","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","5/128","42/6819",0.119047619047619,6.34207589285714,4.80290420137281,0.00105054136349496,0.0271461171844135,0.021554549052378,"68705/20021/66420/66464/21343",5,"white","Reactome"
"1148","Fibroblasts","R-MMU-75953","RNA Polymerase II Transcription Initiation","5/128","42/6819",0.119047619047619,6.34207589285714,4.80290420137281,0.00105054136349496,0.0271461171844135,0.021554549052378,"68705/20021/66420/66464/21343",5,"white","Reactome"
"1149","Fibroblasts","R-MMU-76042","RNA Polymerase II Transcription Initiation And Promoter Clearance","5/128","42/6819",0.119047619047619,6.34207589285714,4.80290420137281,0.00105054136349496,0.0271461171844135,0.021554549052378,"68705/20021/66420/66464/21343",5,"white","Reactome"
"1150","Fibroblasts","R-MMU-5368287","Mitochondrial translation","7/128","86/6819",0.0813953488372093,4.33621002906977,4.30612140808206,0.00109418130685736,0.0271461171844135,0.021554549052378,"102060/94065/56280/66163/18120/64659/66407",7,"white","Reactome"
"1151","Fibroblasts","R-MMU-72165","mRNA Splicing - Minor Pathway","5/128","44/6819",0.113636363636364,6.05379971590909,4.65133568461771,0.00130163918925461,0.030825182618257,0.0244757991089504,"68705/20021/66420/225027/67178",5,"white","Reactome"
"1152","Fibroblasts","R-MMU-174143","APC/C-mediated degradation of cell cycle proteins","6/128","67/6819",0.0895522388059701,4.77075559701492,4.28980486316683,0.00152165251923047,0.031711238500763,0.0251793448445294,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1153","Fibroblasts","R-MMU-453276","Regulation of mitotic cell cycle","6/128","67/6819",0.0895522388059701,4.77075559701492,4.28980486316683,0.00152165251923047,0.031711238500763,0.0251793448445294,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1154","Fibroblasts","R-MMU-68867","Assembly of the pre-replicative complex","6/128","67/6819",0.0895522388059701,4.77075559701492,4.28980486316683,0.00152165251923047,0.031711238500763,0.0251793448445294,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1155","Fibroblasts","R-MMU-3700989","Transcriptional Regulation by TP53","12/128","242/6819",0.0495867768595041,2.64165805785124,3.59637055355339,0.00187370021069329,0.0373036561335025,0.0296198340447853,"26992/69125/68705/15182/23988/20021/66420/19082/109270/68441/66464/21343",12,"white","Reactome"
"1156","Fibroblasts","R-MMU-6781823","Formation of TC-NER Pre-Incision Complex","5/128","48/6819",0.104166666666667,5.54931640625,4.37449901729183,0.00193320290902988,0.0373036561335025,0.0296198340447853,"26754/26893/26894/20021/66420",5,"white","Reactome"
"1157","Fibroblasts","R-MMU-69052","Switching of origins to a post-replicative state","6/128","72/6819",0.0833333333333333,4.439453125,4.05777775009476,0.00220751674645261,0.0410755794607789,0.0326148150885667,"68999/52206/66440/19182/23996/17463",6,"white","Reactome"
"1158","Fibroblasts","R-MMU-72172","mRNA Splicing","10/128","184/6819",0.0543478260869565,2.89529551630435,3.60456906696089,0.00231142942682115,0.0415260252197869,0.0329724778490277,"67285/68705/17149/20021/66420/230596/76938/225027/54723/67178",10,"white","Reactome"
"1159","Fibroblasts","R-MMU-69239","Synthesis of DNA","7/128","99/6819",0.0707070707070707,3.76680871212121,3.83530638637634,0.00247985344986378,0.0430667882459676,0.0341958738875952,"68999/52206/66440/66979/19182/23996/17463",7,"white","Reactome"
"1160","Leukocytes","R-MMU-9907900","Proteasome assembly","6/83","41/6819",0.146341463414634,12.0229209521011,7.85786104189406,8.66801350009038e-06,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123/19192",6,"white","Reactome"
"1161","Leukocytes","R-MMU-1168372","Downstream signaling events of B Cell Receptor (BCR)","6/83","51/6819",0.117647058823529,9.66548547129695,6.89468321685666,3.15081147940958e-05,0.00185261522992046,0.00121176802050828,"12313/26440/19166/23996/19184/22123",6,"white","Reactome"
"1162","Leukocytes","R-MMU-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint","6/83","53/6819",0.113207547169811,9.30075017049329,6.73373136157655,3.93934514703945e-05,0.00185261522992046,0.00121176802050828,"15519/26440/19166/23996/19184/22123",6,"white","Reactome"
"1163","Leukocytes","R-MMU-9764561","Regulation of CDH1 Function","6/83","53/6819",0.113207547169811,9.30075017049329,6.73373136157655,3.93934514703945e-05,0.00185261522992046,0.00121176802050828,"11461/26440/19166/23996/19184/22123",6,"white","Reactome"
"1164","Leukocytes","R-MMU-350562","Regulation of ornithine decarboxylase (ODC)","5/83","33/6819",0.151515151515152,12.447973713034,7.31720413610571,4.29716056345368e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1165","Leukocytes","R-MMU-349425","Autodegradation of the E3 ubiquitin ligase COP1","5/83","34/6819",0.147058823529412,12.0818568391212,7.19024308911805,4.99020533035089e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1166","Leukocytes","R-MMU-75815","Ubiquitin-dependent degradation of Cyclin D","5/83","34/6819",0.147058823529412,12.0818568391212,7.19024308911805,4.99020533035089e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1167","Leukocytes","R-MMU-9909396","Circadian clock","5/83","35/6819",0.142857142857143,11.736660929432,7.06849322333239,5.76662656618341e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1168","Leukocytes","R-MMU-9932298","Degradation of CRY and PER proteins","5/83","35/6819",0.142857142857143,11.736660929432,7.06849322333239,5.76662656618341e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1169","Leukocytes","R-MMU-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","5/83","36/6819",0.138888888888889,11.4106425702811,6.95159373735084,6.63315230160571e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1170","Leukocytes","R-MMU-8939902","Regulation of RUNX2 expression and activity","5/83","36/6819",0.138888888888889,11.4106425702811,6.95159373735084,6.63315230160571e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1171","Leukocytes","R-MMU-9762114","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","5/83","36/6819",0.138888888888889,11.4106425702811,6.95159373735084,6.63315230160571e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1172","Leukocytes","R-MMU-5689603","UCH proteinases","6/83","59/6819",0.101694915254237,8.35491117010415,6.29791210281563,7.29476094474715e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123/50933",6,"white","Reactome"
"1173","Leukocytes","R-MMU-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","5/83","37/6819",0.135135135135135,11.1022468251384,6.8392180457809,7.59678372398626e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
"1174","Leukocytes","R-MMU-450408","AUF1 (hnRNP D0) binds and destabilizes mRNA","5/83","38/6819",0.131578947368421,10.8100824350032,6.73106970983571,8.66479283481729e-05,0.00185261522992046,0.00121176802050828,"26440/19166/23996/19184/22123",5,"white","Reactome"
