"gene_celltype","module","celltype","gene","kME"
"Wdr45_EndothelialCells","turquoise","EndothelialCells","Wdr45",0.760880880401326
"Cntfr_Fibroblasts","turquoise","Fibroblasts","Cntfr",0.760689800096256
"Ogg1_EndothelialCells","turquoise","EndothelialCells","Ogg1",0.760355501631205
"Itgb5_Leukocytes","turquoise","Leukocytes","Itgb5",0.76035177467005
"Entpd4_EndothelialCells","turquoise","EndothelialCells","Entpd4",0.76033823155056
"Tnfsf12_EndothelialCells","turquoise","EndothelialCells","Tnfsf12",0.760231496824172
"Cdkn1c_EndothelialCells","turquoise","EndothelialCells","Cdkn1c",0.760205470737931
"Dom3z_EndothelialCells","turquoise","EndothelialCells","Dom3z",0.760139235846561
"Rnft1_Leukocytes","turquoise","Leukocytes","Rnft1",0.760090711404639
"Bri3_Leukocytes","turquoise","Leukocytes","Bri3",0.760024115215723
"Rpl27_Leukocytes","turquoise","Leukocytes","Rpl27",0.759981955618129
"Emp3_Leukocytes","turquoise","Leukocytes","Emp3",0.75997745906654
"Kif3c_Fibroblasts","turquoise","Fibroblasts","Kif3c",0.759976387200357
"Higd2a_Leukocytes","turquoise","Leukocytes","Higd2a",0.759970794973535
"Ankrd16_EndothelialCells","turquoise","EndothelialCells","Ankrd16",0.759800992476122
"Arfgap1_EndothelialCells","turquoise","EndothelialCells","Arfgap1",0.759638445662194
"Wdr5_EndothelialCells","turquoise","EndothelialCells","Wdr5",0.759553764990967
"Fam114a1_Fibroblasts","turquoise","Fibroblasts","Fam114a1",0.75946778453196
"Prrt4_EndothelialCells","turquoise","EndothelialCells","Prrt4",0.759379793647275
"Snap23_Leukocytes","turquoise","Leukocytes","Snap23",0.759148719022549
"Samd4_Fibroblasts","turquoise","Fibroblasts","Samd4",0.759069869065834
"Ptpn9_Fibroblasts","turquoise","Fibroblasts","Ptpn9",0.758940089935758
"Cox7a2l_Leukocytes","turquoise","Leukocytes","Cox7a2l",0.758804827267254
"Stard8_Leukocytes","turquoise","Leukocytes","Stard8",0.758708845627049
"Eif5b_EndothelialCells","turquoise","EndothelialCells","Eif5b",0.758459212161093
"Pknox1_EndothelialCells","turquoise","EndothelialCells","Pknox1",0.758213435858959
"2810008D09Rik_Fibroblasts","turquoise","Fibroblasts","2810008D09Rik",0.758021975544321
"Mib2_Fibroblasts","turquoise","Fibroblasts","Mib2",0.758009143780058
"Capza2_Leukocytes","turquoise","Leukocytes","Capza2",0.757976803081924
"Herpud2_EndothelialCells","turquoise","EndothelialCells","Herpud2",0.75795786805252
"Eda_Fibroblasts","turquoise","Fibroblasts","Eda",0.757874397201031
"Rps12_Leukocytes","turquoise","Leukocytes","Rps12",0.757765375298644
"Ebf2_Fibroblasts","turquoise","Fibroblasts","Ebf2",0.75776445061346
